run	raw_file	sample	genotype	arginine_uM	timepoint	biorep	techrep	run_id	acq_date	size_bytes	url
20141119_AlCH_1WT_20_2h_n3_1_1200	20141119_AlCH_1WT_20_2h_n3_1_1200.raw	1WT_20_2h_n3_1	WT	20	2h	n3	1	1200	20141119	3037044458	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_1WT_20_2h_n3_1_1200.raw
20141119_AlCH_1WT_20_2h_n3_2_1201	20141119_AlCH_1WT_20_2h_n3_2_1201.raw	1WT_20_2h_n3_2	WT	20	2h	n3	2	1201	20141119	3055347272	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_1WT_20_2h_n3_2_1201.raw
20141119_AlCH_1WT_20_2h_n3_3_1202	20141119_AlCH_1WT_20_2h_n3_3_1202.raw	1WT_20_2h_n3_3	WT	20	2h	n3	3	1202	20141119	3046186812	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_1WT_20_2h_n3_3_1202.raw
20141119_AlCH_1WT_20_2h_n4_1_1212	20141119_AlCH_1WT_20_2h_n4_1_1212.raw	1WT_20_2h_n4_1	WT	20	2h	n4	1	1212	20141119	2894247969	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_1WT_20_2h_n4_1_1212.raw
20141119_AlCH_1WT_20_2h_n4_2_1213	20141119_AlCH_1WT_20_2h_n4_2_1213.raw	1WT_20_2h_n4_2	WT	20	2h	n4	2	1213	20141119	2855162826	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_1WT_20_2h_n4_2_1213.raw
20141119_AlCH_1WT_20_2h_n4_3_1214	20141119_AlCH_1WT_20_2h_n4_3_1214.raw	1WT_20_2h_n4_3	WT	20	2h	n4	3	1214	20141119	2841453420	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_1WT_20_2h_n4_3_1214.raw
20141119_AlCH_1WT_20_2h_n5_1_1224	20141119_AlCH_1WT_20_2h_n5_1_1224.raw	1WT_20_2h_n5_1	WT	20	2h	n5	1	1224	20141119	2837531276	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_1WT_20_2h_n5_1_1224.raw
20141119_AlCH_1WT_20_2h_n5_2_1225	20141119_AlCH_1WT_20_2h_n5_2_1225.raw	1WT_20_2h_n5_2	WT	20	2h	n5	2	1225	20141119	2825632894	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_1WT_20_2h_n5_2_1225.raw
20141119_AlCH_1WT_20_2h_n5_3_1226	20141119_AlCH_1WT_20_2h_n5_3_1226.raw	1WT_20_2h_n5_3	WT	20	2h	n5	3	1226	20141119	2812922059	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_1WT_20_2h_n5_3_1226.raw
20141119_AlCH_3D8_20_2h_n3_1_1206	20141119_AlCH_3D8_20_2h_n3_1_1206.raw	3D8_20_2h_n3_1	argP_KO	20	2h	n3	1	1206	20141119	2885962469	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_3D8_20_2h_n3_1_1206.raw
20141119_AlCH_3D8_20_2h_n3_2_1207	20141119_AlCH_3D8_20_2h_n3_2_1207.raw	3D8_20_2h_n3_2	argP_KO	20	2h	n3	2	1207	20141119	2881951731	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_3D8_20_2h_n3_2_1207.raw
20141119_AlCH_3D8_20_2h_n3_3_1208	20141119_AlCH_3D8_20_2h_n3_3_1208.raw	3D8_20_2h_n3_3	argP_KO	20	2h	n3	3	1208	20141119	2831341140	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_3D8_20_2h_n3_3_1208.raw
20141119_AlCH_3D8_20_2h_n4_1_1218	20141119_AlCH_3D8_20_2h_n4_1_1218.raw	3D8_20_2h_n4_1	argP_KO	20	2h	n4	1	1218	20141119	2628497219	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_3D8_20_2h_n4_1_1218.raw
20141119_AlCH_3D8_20_2h_n4_2_1219	20141119_AlCH_3D8_20_2h_n4_2_1219.raw	3D8_20_2h_n4_2	argP_KO	20	2h	n4	2	1219	20141119	2626566673	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_3D8_20_2h_n4_2_1219.raw
20141119_AlCH_3D8_20_2h_n4_3_1220	20141119_AlCH_3D8_20_2h_n4_3_1220.raw	3D8_20_2h_n4_3	argP_KO	20	2h	n4	3	1220	20141119	2679459806	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_3D8_20_2h_n4_3_1220.raw
20141119_AlCH_3D8_20_2h_n5_1_1230	20141119_AlCH_3D8_20_2h_n5_1_1230.raw	3D8_20_2h_n5_1	argP_KO	20	2h	n5	1	1230	20141119	2702759515	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_3D8_20_2h_n5_1_1230.raw
20141119_AlCH_3D8_20_2h_n5_2_1231	20141119_AlCH_3D8_20_2h_n5_2_1231.raw	3D8_20_2h_n5_2	argP_KO	20	2h	n5	2	1231	20141119	2683902981	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_3D8_20_2h_n5_2_1231.raw
20141119_AlCH_3D8_20_2h_n5_3_1232	20141119_AlCH_3D8_20_2h_n5_3_1232.raw	3D8_20_2h_n5_3	argP_KO	20	2h	n5	3	1232	20141119	2690846420	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001584/20141119_AlCH_3D8_20_2h_n5_3_1232.raw
