stage	started_utc	elapsed_s	peak_rss_kb	exit_status	command
04_convert:20141119_AlCH_1WT_20_2h_n4_1_1212	2026-09-19T13:59:02Z	138.87	3015820	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_1WT_20_2h_n4_1_1212.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_1WT_20_2h_n4_1_1212.mzML.gz --format=1 --gzip
04_convert:20141119_AlCH_1WT_20_2h_n5_1_1224	2026-09-19T14:17:32Z	130.58	2980232	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_1WT_20_2h_n5_1_1224.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_1WT_20_2h_n5_1_1224.mzML.gz --format=1 --gzip
04_convert:20141119_AlCH_3D8_20_2h_n3_1_1206	2026-09-19T14:37:20Z	131.59	3009528	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_3D8_20_2h_n3_1_1206.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_3D8_20_2h_n3_1_1206.mzML.gz --format=1 --gzip
04_convert:20141119_AlCH_3D8_20_2h_n4_1_1218	2026-09-19T14:55:52Z	122.24	2753248	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_3D8_20_2h_n4_1_1218.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_3D8_20_2h_n4_1_1218.mzML.gz --format=1 --gzip
04_convert:20141119_AlCH_3D8_20_2h_n5_1_1230	2026-09-19T15:12:28Z	125.21	2827416	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_3D8_20_2h_n5_1_1230.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_3D8_20_2h_n5_1_1230.mzML.gz --format=1 --gzip
05_sage_search	2026-09-19T15:29:05Z	69.31	2489580	0	conda run --no-capture-output --name sage-lfq-ms sage --batch-size 1 --disable-telemetry-i-dont-want-to-improve-sage /home/qasim/file/sage_lfq_proteomics_pipeline/results/sage_config_used.json
06_entrapment_search	2026-09-19T15:30:38Z	84.39	2638604	0	conda run --no-capture-output --name sage-lfq-ms sage --batch-size 1 --disable-telemetry-i-dont-want-to-improve-sage /home/qasim/file/sage_lfq_proteomics_pipeline/results/sage_config_entrapment.json
08_differential:sage	2026-09-19T15:32:20Z	30.58	1014380	0	conda run --no-capture-output --name sage-lfq-r Rscript /home/qasim/file/sage_lfq_proteomics_pipeline/scripts/differential.R --matrix /home/qasim/file/sage_lfq_proteomics_pipeline/results/peptide_matrix_sage.tsv --samples /home/qasim/file/sage_lfq_proteomics_pipeline/config/samples.tsv --outdir /home/qasim/file/sage_lfq_proteomics_pipeline/results --prefix sage --min-cultures 2 --sensitivity
09_differential:maxquant_matched	2026-09-19T15:34:29Z	12.70	1008656	0	conda run --no-capture-output --name sage-lfq-r Rscript /home/qasim/file/sage_lfq_proteomics_pipeline/scripts/differential.R --matrix /home/qasim/file/sage_lfq_proteomics_pipeline/data/maxquant/peptide_matrix_maxquant.tsv --samples /home/qasim/file/sage_lfq_proteomics_pipeline/results/samples_matched.tsv --outdir /home/qasim/file/sage_lfq_proteomics_pipeline/results --prefix maxquant_matched --min-cultures 2
10_figures:maxquant	2026-09-19T15:35:00Z	3.88	235784	0	conda run --no-capture-output --name sage-lfq-r Rscript /home/qasim/file/sage_lfq_proteomics_pipeline/scripts/figures.R --results /home/qasim/file/sage_lfq_proteomics_pipeline/results --figures /home/qasim/file/sage_lfq_proteomics_pipeline/figures --prefix maxquant
10_figures:sage	2026-09-19T15:35:04Z	3.34	230448	0	conda run --no-capture-output --name sage-lfq-r Rscript /home/qasim/file/sage_lfq_proteomics_pipeline/scripts/figures.R --results /home/qasim/file/sage_lfq_proteomics_pipeline/results --figures /home/qasim/file/sage_lfq_proteomics_pipeline/figures --prefix sage
09_differential:maxquant	2026-09-19T15:35:39Z	181.74	1082552	0	conda run --no-capture-output --name sage-lfq-r Rscript /home/qasim/file/sage_lfq_proteomics_pipeline/scripts/differential.R --matrix /home/qasim/file/sage_lfq_proteomics_pipeline/data/maxquant/peptide_matrix_maxquant.tsv --samples /home/qasim/file/sage_lfq_proteomics_pipeline/config/samples.tsv --outdir /home/qasim/file/sage_lfq_proteomics_pipeline/results --prefix maxquant --min-cultures 2 --sensitivity
09_differential:maxquant_matched	2026-09-19T15:38:43Z	10.23	1008716	0	conda run --no-capture-output --name sage-lfq-r Rscript /home/qasim/file/sage_lfq_proteomics_pipeline/scripts/differential.R --matrix /home/qasim/file/sage_lfq_proteomics_pipeline/data/maxquant/peptide_matrix_maxquant.tsv --samples /home/qasim/file/sage_lfq_proteomics_pipeline/results/samples_matched.tsv --outdir /home/qasim/file/sage_lfq_proteomics_pipeline/results --prefix maxquant_matched --min-cultures 2
