stage	started_utc	elapsed_s	peak_rss_kb	exit_status	command
10_figures:maxquant	2026-09-19T13:31:44Z	4.38	234376	0	conda run --no-capture-output --name sage-lfq-r Rscript /home/qasim/file/sage_lfq_proteomics_pipeline/scripts/figures.R --results /home/qasim/file/sage_lfq_proteomics_pipeline/results --figures /home/qasim/file/sage_lfq_proteomics_pipeline/figures --prefix maxquant
04_convert:20141119_AlCH_1WT_20_2h_n3_1_1200	2026-09-19T13:33:58Z	1.87	73784	255	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_1WT_20_2h_n3_1_1200.raw --output_file=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_1WT_20_2h_n3_1_1200.mzML.gz --format=1 --gzip --noPeakPicking=false
04_convert:20141119_AlCH_1WT_20_2h_n3_1_1200	2026-09-19T13:34:47Z	144.03	3191000	1	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_1WT_20_2h_n3_1_1200.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_1WT_20_2h_n3_1_1200.mzML.gz --format=2 --gzip
10_figures:maxquant	2026-09-19T13:44:11Z	3.31	232072	0	conda run --no-capture-output --name sage-lfq-r Rscript /home/qasim/file/sage_lfq_proteomics_pipeline/scripts/figures.R --results /home/qasim/file/sage_lfq_proteomics_pipeline/results --figures /home/qasim/file/sage_lfq_proteomics_pipeline/figures --prefix maxquant
06_entrapment_search	2026-09-19T13:55:48Z	15.07	1207940	0	conda run --no-capture-output --name sage-lfq-ms sage --batch-size 1 --disable-telemetry-i-dont-want-to-improve-sage /home/qasim/file/sage_lfq_proteomics_pipeline/results/sage_config_entrapment.json
10_figures:maxquant	2026-09-19T13:56:57Z	3.87	235920	0	conda run --no-capture-output --name sage-lfq-r Rscript /home/qasim/file/sage_lfq_proteomics_pipeline/scripts/figures.R --results /home/qasim/file/sage_lfq_proteomics_pipeline/results --figures /home/qasim/file/sage_lfq_proteomics_pipeline/figures --prefix maxquant
04_convert:20141119_AlCH_1WT_20_2h_n4_1_1212	2026-09-19T13:55:36Z	142.53	3056492	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_1WT_20_2h_n4_1_1212.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_1WT_20_2h_n4_1_1212.mzML.gz --format=1 --gzip
04_convert:20141119_AlCH_1WT_20_2h_n4_1_1212	2026-09-19T13:59:02Z	138.87	3015820	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_1WT_20_2h_n4_1_1212.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_1WT_20_2h_n4_1_1212.mzML.gz --format=1 --gzip
04_convert:20141119_AlCH_1WT_20_2h_n5_1_1224	2026-09-19T14:17:32Z	130.58	2980232	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_1WT_20_2h_n5_1_1224.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_1WT_20_2h_n5_1_1224.mzML.gz --format=1 --gzip
04_convert:20141119_AlCH_3D8_20_2h_n3_1_1206	2026-09-19T14:37:20Z	131.59	3009528	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_3D8_20_2h_n3_1_1206.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_3D8_20_2h_n3_1_1206.mzML.gz --format=1 --gzip
04_convert:20141119_AlCH_3D8_20_2h_n4_1_1218	2026-09-19T14:55:52Z	122.24	2753248	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_3D8_20_2h_n4_1_1218.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_3D8_20_2h_n4_1_1218.mzML.gz --format=1 --gzip
04_convert:20141119_AlCH_3D8_20_2h_n5_1_1230	2026-09-19T15:12:28Z	125.21	2827416	0	conda run --no-capture-output --name sage-lfq-ms ThermoRawFileParser --input=/home/qasim/file/sage_lfq_proteomics_pipeline/data/raw/20141119_AlCH_3D8_20_2h_n5_1_1230.raw --output=/home/qasim/file/sage_lfq_proteomics_pipeline/data/mzml/20141119_AlCH_3D8_20_2h_n5_1_1230.mzML.gz --format=1 --gzip
