run	stage	log2_intensity
20141119_AlCH_1WT_20_2h_n3_1_1200	before	24.7822179955644
20141119_AlCH_1WT_20_2h_n3_1_1200	before	28.3402379775444
20141119_AlCH_1WT_20_2h_n3_1_1200	before	27.8401413280759
20141119_AlCH_1WT_20_2h_n3_1_1200	before	29.8393906047349
20141119_AlCH_1WT_20_2h_n3_1_1200	before	29.6860218618109
20141119_AlCH_1WT_20_2h_n3_1_1200	before	26.5082267470938
20141119_AlCH_1WT_20_2h_n3_1_1200	before	24.124867220393
20141119_AlCH_1WT_20_2h_n3_1_1200	before	27.1237627346075
20141119_AlCH_1WT_20_2h_n3_1_1200	before	27.9969039162022
20141119_AlCH_1WT_20_2h_n3_1_1200	before	28.20559721838
20141119_AlCH_1WT_20_2h_n3_1_1200	before	27.6551271307963
20141119_AlCH_1WT_20_2h_n3_1_1200	before	24.8956436910336
20141119_AlCH_1WT_20_2h_n3_1_1200	before	30.3418079001002
20141119_AlCH_1WT_20_2h_n3_1_1200	before	27.7569090088692
20141119_AlCH_1WT_20_2h_n3_1_1200	before	26.3443839603459
20141119_AlCH_1WT_20_2h_n3_1_1200	before	26.1357092861044
20141119_AlCH_1WT_20_2h_n3_1_1200	before	28.6397213105025
20141119_AlCH_1WT_20_2h_n3_1_1200	before	26.2681019074482
20141119_AlCH_1WT_20_2h_n3_1_1200	before	28.0738798875701
20141119_AlCH_1WT_20_2h_n3_1_1200	before	27.7582441607111
20141119_AlCH_1WT_20_2h_n3_1_1200	before	24.4429733533094
20141119_AlCH_1WT_20_2h_n3_1_1200	before	27.3255166895476
20141119_AlCH_1WT_20_2h_n3_1_1200	before	25.9903829079683
20141119_AlCH_1WT_20_2h_n3_1_1200	before	23.7677956989396
20141119_AlCH_1WT_20_2h_n3_1_1200	before	28.0618817148676
20141119_AlCH_1WT_20_2h_n3_1_1200	before	30.4343009423257
20141119_AlCH_1WT_20_2h_n3_1_1200	before	24.7847159098959
20141119_AlCH_1WT_20_2h_n3_1_1200	before	23.6718485519971
20141119_AlCH_1WT_20_2h_n3_1_1200	before	26.8234737575361
20141119_AlCH_1WT_20_2h_n3_1_1200	before	25.977579349709
20141119_AlCH_1WT_20_2h_n3_1_1200	before	27.2907910214781
20141119_AlCH_1WT_20_2h_n3_1_1200	before	28.0548622918343
20141119_AlCH_1WT_20_2h_n3_1_1200	before	25.8463244189958
20141119_AlCH_1WT_20_2h_n3_1_1200	before	25.6717136033929
20141119_AlCH_1WT_20_2h_n3_1_1200	before	27.829958335859
20141119_AlCH_1WT_20_2h_n3_1_1200	before	25.4770118896521
20141119_AlCH_1WT_20_2h_n3_1_1200	before	28.0624994391506
20141119_AlCH_1WT_20_2h_n3_1_1200	before	25.7689820531967
20141119_AlCH_1WT_20_2h_n3_1_1200	before	28.9048067253952
20141119_AlCH_1WT_20_2h_n3_1_1200	before	23.8499548037705
20141119_AlCH_1WT_20_2h_n3_1_1200	before	26.6089358614602
20141119_AlCH_1WT_20_2h_n3_1_1200	before	27.1823407009241
