run	offset_log2
20141119_AlCH_1WT_20_2h_n3_1_1200	0.241204548250963
20141119_AlCH_1WT_20_2h_n3_2_1201	0.300911723378096
20141119_AlCH_1WT_20_2h_n3_3_1202	0.312020633134679
20141119_AlCH_1WT_20_2h_n4_1_1212	-0.0994598685147139
20141119_AlCH_1WT_20_2h_n4_2_1213	0.140330145837444
20141119_AlCH_1WT_20_2h_n4_3_1214	0.122821926404978
20141119_AlCH_1WT_20_2h_n5_1_1224	0.037847414661762
20141119_AlCH_1WT_20_2h_n5_2_1225	0.10656945607662
20141119_AlCH_1WT_20_2h_n5_3_1226	0.15284175634725
20141119_AlCH_3D8_20_2h_n3_1_1206	-0.426949564289934
20141119_AlCH_3D8_20_2h_n3_2_1207	-0.038179749663275
20141119_AlCH_3D8_20_2h_n3_3_1208	-0.0132805022568796
20141119_AlCH_3D8_20_2h_n4_1_1218	-0.131059070945327
20141119_AlCH_3D8_20_2h_n4_2_1219	-0.128277187017893
20141119_AlCH_3D8_20_2h_n4_3_1220	-0.124020733106708
20141119_AlCH_3D8_20_2h_n5_1_1230	-0.185055626519429
20141119_AlCH_3D8_20_2h_n5_2_1231	-0.195238508802159
20141119_AlCH_3D8_20_2h_n5_3_1232	-0.210407727939277
