protein	description
CON__O43790	 Keratin, type II cuticular Hb6 [Homo sapiens]
CON__O76009	Keratin, type I cuticular Ha3-I
CON__O76011	 Keratin, type I cuticular Ha4 [Homo sapiens]
CON__O95678	 Keratin, type II cytoskeletal 75
CON__P00761	Trypsin [Sus scrofa]
CON__P02533	 Keratin, type I cytoskeletal 14 [Homo sapiens]
CON__P02538	 Keratin, type II cytoskeletal 6A [Homo sapiens]
CON__P04259	 Keratin, type II cytoskeletal 6B
CON__P04264	Keratin, type II cytoskeletal 1
CON__P07477	Trypsin-1 [Homo sapiens]
CON__P08729	 Keratin, type II cytoskeletal 7
CON__P08779	Keratin, type I cytoskeletal 16
CON__P09870	Clostripain [Clostridium histolyticum (Hathewaya histolytica)]
CON__P12035	 Keratin, type II cytoskeletal 3
CON__P13645	Keratin, type I cytoskeletal 10 [Homo sapiens]
CON__P13647	 Keratin, type II cytoskeletal 6B
CON__P19013	 Keratin, type II cytoskeletal 4
CON__P35908	Keratin, type II cytoskeletal 2 epidermal
CON__P48668	Keratin, type II cytoskeletal 6C
CON__P60413	Keratin-associated protein 10-12 [Homo sapiens]
CON__P78385	 Keratin, type II cuticular Hb3
CON__P78386	 Keratin, type II cuticular Hb5
CON__Q01546	 Keratin, type II cytoskeletal 2 oral
CON__Q14525	 Keratin, type I cuticular Ha3-II
CON__Q14533	Keratin, type II cuticular Hb1
CON__Q15323	 Keratin, type I cuticular Ha1 [Homo sapiens]
CON__Q3KNV1	 Submitted name: KRT7 protein
CON__Q3LI72	Keratin-associated protein 19-5 [Homo sapiens]
CON__Q497I4	 Keratin, type I cuticular Ha5
CON__Q5XKE5	Keratin, type II cytoskeletal 79
CON__Q61782	 Submitted name: Type I epidermal keratin mRNA, 3'end [Mus musculus]
CON__Q6IFU5	 Keratin, type I cytoskeletal 40
CON__Q6NT21	 Keratin, type II cuticular Hb3
CON__Q6NTB9	 Keratin, type I cuticular Ha3-I
CON__Q7RTS7	 Keratin, type II cytoskeletal 74
CON__Q8IUT8	 Keratin, type I cuticular Ha4
