protein	description	logFC	se	pval	adjPval_BH
WP_003032885	30S ribosomal protein S14 [Francisella tularensis]	-1.56475945677663	0.878611650682289	0.0962087685398858	0.255961713634418
WP_003021583	MULTISPECIES: 30S ribosomal protein S11 [Francisella]	-0.713107236665238	0.0920437010439306	7.36001706586961e-07	4.69722238654045e-05
WP_003027193	50S ribosomal protein L22 [Francisella tularensis]	-0.656775378293144	0.246512474189109	0.0177439977343853	0.0791382298953585
WP_003015897	30S ribosomal protein S6 [Francisella tularensis]	-0.595257792401269	0.159831338187718	0.00222250683854442	0.0171687673908251
WP_003020646	50S ribosomal protein L27 [Francisella tularensis]	-0.591137016715059	0.22430459554148	0.019548896799233	0.0851446091060344
WP_003027197	50S ribosomal protein L2 [Francisella tularensis]	-0.569639947173998	0.131861973321397	0.000651875882742636	0.00685699631375508
WP_003014378	MULTISPECIES: 30S ribosomal protein S4 [Francisella]	-0.568318815870025	0.115713729223009	0.000210216515299891	0.00292989268199223
WP_003032892	MULTISPECIES: 50S ribosomal protein L15 [Francisella]	-0.567684057884902	0.201171238957491	0.0135535575806265	0.0654208515255347
WP_003017801	MULTISPECIES: 50S ribosomal protein L29 [Francisella]	-0.54489313861415	0.085121515748735	5.15528139206783e-06	0.000221082259698293
WP_003033386	30S ribosomal protein S15 [Francisella tularensis]	-0.530980129679409	0.197510386900758	0.0150939578724009	0.0707132900324663
WP_003016134	50S ribosomal protein L32 [Francisella tularensis]	-0.529781807309958	0.163222115654099	0.00562311199979767	0.0346918942981908
WP_003014373	30S ribosomal protein S13 [Francisella tularensis]	-0.526609076491311	0.0430938046996773	4.06422026135656e-10	1.13290139785314e-07
WP_003027191	MULTISPECIES: 50S ribosomal protein L16 [Francisella]	-0.519911690493501	0.148448991142193	0.00338098150144768	0.0241070387773127
WP_003018840	50S ribosomal protein L25 [Francisella tularensis]	-0.509244686947989	0.0972739479380112	0.000115877011382577	0.00174598469853477
WP_003021600	50S ribosomal protein L4 [Francisella tularensis]	-0.477490907971367	0.208197649909136	0.0358734999324251	0.12779218027046
WP_003023081	MULTISPECIES: 30S ribosomal protein S16 [Francisella]	-0.461789807770226	0.149655979131479	0.00796517502741708	0.0453120926304594
WP_003021588	30S ribosomal protein S5 [Francisella tularensis]	-0.419643445346455	0.130911857867781	0.00618750214905026	0.0370908310335313
WP_003038377	ribosomal protein S12 methylthiotransferase RimO [Francisella tularensis]	-0.418122441183054	0.23897708284123	0.101393276553347	0.26152574396536
WP_003024803	50S ribosomal protein L11 [Francisella tularensis]	-0.415132514581843	0.124999471525253	0.00496938668725036	0.0322536453044975
WP_003014349	50S ribosomal protein L24 [Francisella tularensis]	-0.414988618801753	0.0894128008043509	0.000346573809945428	0.00432453546779456
WP_003016753	50S ribosomal protein L21 [Francisella tularensis]	-0.406040585786635	0.169296802493349	0.0307843936346218	0.115183217793971
WP_003041451	30S ribosomal protein S2 [Francisella tularensis]	-0.403467993535642	0.0722245908726991	5.3969159765055e-05	0.00109410205705521
WP_003024808	MULTISPECIES: 50S ribosomal protein L7/L12 [Francisellaceae]	-0.403299349459211	0.203753012162423	0.067232963482415	0.20097789351982
WP_011733588	MULTISPECIES: 30S ribosomal protein S3 [Francisella]	-0.402552468460196	0.0471069186537224	1.76725387954702e-07	1.64207339641244e-05
WP_003023073	50S ribosomal protein L10 [Francisella tularensis]	-0.385376741649158	0.0824101362672974	0.000284237001538648	0.00364280754845508
WP_003035357	MULTISPECIES: 30S ribosomal protein S12 [Francisella]	-0.371993036395946	0.0749918812249096	0.000187230301084868	0.00271119202220296
WP_003038261	30S ribosomal protein S8 [Francisella tularensis]	-0.35301580446295	0.280709261494991	0.229167867674937	0.450453644493712
WP_003014363	MULTISPECIES: 50S ribosomal protein L30 [Francisella]	-0.341042622191782	0.241337125617982	0.179354406296278	0.383103760575382
WP_003014346	MULTISPECIES: 50S ribosomal protein L14 [Francisella]	-0.330858904249634	0.0635376515419087	0.000106840376806562	0.00167550250993952
WP_003016252	MULTISPECIES: 50S ribosomal protein L13 [Francisella]	-0.330787855777638	0.074641829678492	0.000366100773659433	0.00443698220250291
WP_003027200	50S ribosomal protein L23 [Francisella tularensis]	-0.329134979938227	0.100465073047019	0.00541365100650022	0.0341427080228698
WP_003033846	MULTISPECIES: 30S ribosomal protein S21 [Francisella]	-0.324559768643948	0.10946289221472	0.00994653853794117	0.0533191849509827
WP_003014382	50S ribosomal protein L17 [Francisella tularensis]	-0.324368373690408	0.134844250900942	0.0304164317145906	0.114189634214709
WP_003032840	30S ribosomal protein S1 [Francisella tularensis]	-0.324102252750336	0.151129329952046	0.0499856662010027	0.163442867490082
WP_003032887	50S ribosomal protein L6 [Francisella tularensis]	-0.321106759511315	0.0661439343257017	0.000205018179477108	0.00292989268199223
WP_003035017	MULTISPECIES: 50S ribosomal protein L19 [Francisella]	-0.320798925927747	0.0710236434314592	0.000349065643140368	0.00432453546779456
WP_003021606	30S ribosomal protein S7 [Francisella tularensis]	-0.316284669292143	0.0538469274206182	2.21909156803443e-05	0.000537888499643129
WP_003027195	MULTISPECIES: 30S ribosomal protein S19 [Francisella]	-0.315100090653471	0.0838226968054831	0.0019565363480719	0.015694518187771
WP_011733590	MULTISPECIES: 50S ribosomal protein L31 [Francisella]	-0.314178677138416	0.190713228798103	0.124666388152059	0.296381711704787
WP_003032890	50S ribosomal protein L18 [Francisella tularensis]	-0.308537348871979	0.059940307266793	0.000108193884049906	0.00167550250993952
WP_003027204	30S ribosomal protein S10 [Francisella tularensis]	-0.305893527005263	0.122807311989631	0.0255880913160932	0.102628495746201
WP_003028678	50S ribosomal protein L1 [Francisella tularensis]	-0.27083675746969	0.0858984165612205	0.00670004397799854	0.0393186791340441
WP_003027202	50S ribosomal protein L3 [Francisella tularensis]	-0.255719364778158	0.103993336036462	0.0273436401433724	0.106601953705805
WP_003025459	30S ribosomal protein S9 [Francisella tularensis]	-0.249596820486069	0.0718679686403164	0.00354993131109491	0.0247385838241927
WP_003039410	50S ribosomal protein L11 methyltransferase [Francisella tularensis]	-0.245745474433216	0.164122842462672	0.16552670949835	0.363311576950118
WP_003039888	50S ribosomal protein L20 [Francisella tularensis]	-0.241694113804241	0.0531466264265281	0.000333012758531536	0.00421942302003025
WP_003014352	MULTISPECIES: 50S ribosomal protein L5 [Francisella]	-0.235913118563697	0.0412304621779806	2.08972879891574e-05	0.000529556275179784
WP_003021184	MULTISPECIES: 30S ribosomal protein S18 [Francisella]	-0.231833928690844	0.0387442142037764	1.19568342868487e-05	0.000370329728606564
WP_003039327	50S ribosomal protein L9 [Francisella tularensis]	-0.219125325963181	0.119735153820669	0.0882264146374592	0.239269217215263
WP_003014822	50S ribosomal protein L28 [Francisella tularensis]	-0.172372219661313	0.114546030440317	0.154170591270433	0.34311419015276
WP_003017803	30S ribosomal protein S17 [Francisella tularensis]	-0.0911620504577655	0.150875939607849	0.554931941521829	0.767678802477469
WP_003017136	ribosomal protein L3 N(5)-glutamine methyltransferase [Francisella tularensis]	0.102094410896299	0.0878224457136034	0.260302710140069	0.483729203010294
