protein	description
A0Q3U7	Chromosomal replication initiator protein DnaA
A0Q3U8	Beta sliding clamp
A0Q3U9	Metabolite:H+ symporter (MHS) family protein
A0Q3V0	Aspartate/glutamate transporter
A0Q3V1	Divalent inorganic cation transporter
A0Q3V2	Uncharacterized protein
A0Q3V3	Uncharacterized protein
A0Q3V4	10 TMS drug/metabolite exporter protein
A0Q3V5	Uncharacterized protein
A0Q3V6	Phage terminase, small subunit
A0Q3V7	Uncharacterized protein
A0Q3V8	Uncharacterized protein
A0Q3V9	Uncharacterized protein
A0Q3W0	Uncharacterized protein
A0Q3W1	Regulatory protein, AlpA family
A0Q3W2	Uncharacterized protein
A0Q3W3	Phage integrase
A0Q3W4	Serine permease
A0Q3W5	Aspartate carbamoyltransferase
A0Q3W6	Carbamoyl phosphate synthase large chain
A0Q3W7	Carbamoyl phosphate synthase small chain
A0Q3W8	Histidine acid phosphatase
A0Q3W9	Thiopurine S-methyltransferase
A0Q3X0	Dihydroorotase
A0Q3X1	Uncharacterized protein
A0Q3X2	Uncharacterized protein
A0Q3X3	Uncharacterized protein
A0Q3X4	Conserved hypothetical membrane protein
A0Q3X5	Membrane fusion protein, HlyD family
A0Q3X6	Hypothetical membrane protein
A0Q3X7	Transcriptional regulator, LysR family
A0Q3X8	Uncharacterized protein
A0Q3X9	chorismate mutase
A0Q3Y0	Uncharacterized protein
A0Q3Y1	Orotidine 5'-phosphate decarboxylase
A0Q3Y2	Dihydroorotate oxidase
A0Q3Y3	Uncharacterized protein
A0Q3Y4	Uncharacterized protein
A0Q3Y5	Uncharacterized protein
A0Q3Y6	Uncharacterized protein
A0Q3Y7	Uncharacterized protein
A0Q3Y8	Uncharacterized protein
A0Q3Y9	Type VI secretion system contractile sheath large subunit
A0Q3Z0	Uncharacterized protein
A0Q3Z1	Uncharacterized protein
A0Q3Z2	Uncharacterized protein
A0Q3Z3	Uncharacterized protein
A0Q3Z4	Uncharacterized protein
A0Q3Z5	Uncharacterized protein
A0Q3Z6	Type VI secretion system baseplate subunit TssF
A0Q3Z7	Type IV / VI secretion system DotU domain-containing protein
A0Q3Z8	Uncharacterized protein
A0Q3Z9	Uncharacterized protein
A0Q400	Uncharacterized protein
A0Q401	Prephenate dehydrogenase
A0Q402	D-aminoacyl-tRNA deacylase
A0Q403	Major facilitator superfamily (MFS) transport protein
A0Q404	beta-fructofuranosidase
A0Q405	3-isopropylmalate dehydrogenase
A0Q406	3-isopropylmalate dehydratase small subunit
A0Q407	3-isopropylmalate dehydratase
A0Q408	2-isopropylmalate synthase
A0Q409	Branched-chain-amino-acid aminotransferase
A0Q410	Pyruvate, phosphate dikinase
A0Q411	Uncharacterized protein
A0Q412	Ferrous iron transport protein B
A0Q413	Uncharacterized protein
A0Q414	Oligoribonuclease
A0Q415	Elongation factor P
A0Q416	Type IV pili, pilus assembly protein
A0Q417	LPS fatty acid acyltransferase
A0Q418	LPS fatty acid acyltransferase
A0Q419	Membrane protein insertase YidC
A0Q420	Putative membrane protein insertion efficiency factor
A0Q421	Ribonuclease P protein component
A0Q422	Large ribosomal subunit protein bL34
A0Q423	Uncharacterized protein
A0Q424	shikimate dehydrogenase (NADP(+))
A0Q425	UDP-N-acetylmuramate--L-alanine ligase
A0Q426	Ribosomal RNA small subunit methyltransferase I
A0Q427	Uncharacterized protein
A0Q428	Predicted hydrolase of the HAD superfamily
A0Q429	Uncharacterized protein
A0Q430	DNA/RNA helicase
A0Q431	Universal stress protein
A0Q432	Metabolite:H+ symporter (MHS) family protein
A0Q433	Allophanate hydrolase subunit 1
A0Q434	Lactam utilization protein
A0Q435	Allophanate hydrolase subunit 2
A0Q436	Acid phosphatase
A0Q437	Uncharacterized protein
A0Q438	Inorganic phosphate transporter (PiT) family protein
A0Q439	Cytochrome b561 family protein
A0Q440	Transcriptional regulator, LysR family
A0Q441	Nitroreductase
A0Q442	Conserved hypothetical membrane protein
A0Q443	Hydroxy/aromatic amino acid permease (HAAAP) family protein
A0Q444	Ribosomal RNA small subunit methyltransferase G
A0Q445	Pyridoxal phosphate homeostasis protein
A0Q446	Hypothetical membrane protein
A0Q447	Transcriptional regulator, LysR family
A0Q448	Tetracycline resistance protein
A0Q449	Uncharacterized protein
A0Q450	Phosphoheptose isomerase
A0Q451	Outer membrane protein assembly factor BamE
A0Q452	Small ribosomal subunit protein bS20
A0Q453	Elongation factor 4
A0Q454	tRNA-specific 2-thiouridylase MnmA
A0Q455	Uncharacterized protein
A0Q456	Peptide deformylase
A0Q457	6,7-dimethyl-8-ribityllumazine synthase
A0Q458	3,4-dihydroxy-2-butanone 4-phosphate synthase
A0Q459	Riboflavin synthase
A0Q460	Riboflavin biosynthesis protein RibD
A0Q461	Na+/H+ antiporter
A0Q462	Indolepyruvate decarboxylase
A0Q463	Ferredoxin
A0Q464	Serine peptidase, S49 family
A0Q465	Uncharacterized protein
A0Q466	Rhodanese-related sulfurtransferase
A0Q467	Protein-export protein SecB 1
A0Q468	Protein RecA
