protein	description	logFC	se	pval	adjPval_BH
sp|A0Q4J6|RS14_FRATN	Small ribosomal subunit protein uS14	-1.00736290467509	0.273630521330276	0.0108175875590352	0.132402764394441
sp|A0Q858|RL19_FRATN	Large ribosomal subunit protein bL19	-0.938962829423345	0.158790813483655	0.00104075997611709	0.0489157188775031
sp|A0Q422|RL34_FRATN	Large ribosomal subunit protein bL34	-0.689138640598029	0.176507790636178	0.00900060650461438	0.116576811767245
sp|A0Q4K7|RS4_FRATN	Small ribosomal subunit protein uS4	-0.575769170923861	0.116017797572108	0.00278732561648166	0.0818776899841486
sp|A0Q4J1|RL29_FRATN	Large ribosomal subunit protein uL29	-0.565023418362021	0.129221457750409	0.00470536862866504	0.10080219126654
sp|A0Q7F4|RL13_FRATN	Large ribosomal subunit protein uL13	-0.554712458183614	0.12973205557364	0.00522862193597486	0.10080219126654
sp|A0Q5Q3|RL27_FRATN	Large ribosomal subunit protein bL27	-0.547487192659947	0.18895788782894	0.0304621920475967	0.18889960844964
sp|A0Q861|RS16_FRATN	Small ribosomal subunit protein bS16	-0.544618123314627	0.125281103430669	0.00585863075337939	0.104515835255806
sp|A0Q4K6|RS11_FRATN	Small ribosomal subunit protein uS11	-0.530769808441856	0.167327098713345	0.0269121028530252	0.179668868479003
sp|A0Q868|RL7_FRATN	Large ribosomal subunit protein bL12	-0.497292272506204	0.176872889399528	0.0307062342245798	0.18889960844964
sp|A0Q4J4|RL24_FRATN	Large ribosomal subunit protein uL24	-0.488419110117318	0.117032686514139	0.00585569518859793	0.104515835255806
sp|A0Q5Q2|RL21_FRATN	Large ribosomal subunit protein bL21	-0.477637082209467	0.1210286804353	0.0110883973697414	0.13294762152496
sp|A0Q6H4|RS6_FRATN	Small ribosomal subunit protein bS6	-0.467194861940138	0.139869096397826	0.0191356497009819	0.167793943273535
sp|A0Q7J5|RL32_FRATN	Large ribosomal subunit protein bL32	-0.465737818815854	0.136140094147774	0.0151938254287053	0.157988892732112
sp|A0Q4S4|RL28_FRATN	Large ribosomal subunit protein bL28	-0.446577817430299	0.121239935399973	0.010287456076706	0.127239588317153
sp|A0Q5I8|RS15_FRATN	Small ribosomal subunit protein uS15	-0.437911336540018	0.151690351061203	0.0397762791551199	0.212441490942118
sp|A0Q4K4|RL36_FRATN	Large ribosomal subunit protein bL36	-0.436550761294139	0.186642952730731	0.0579230899556307	0.24930267654896
sp|A0Q4S3|RL33_FRATN	Large ribosomal subunit protein bL33	-0.428564465651199	0.257396960322191	0.147236946399422	0.395888814689522
sp|A0Q6N0|RL25_FRATN	Large ribosomal subunit protein bL25	-0.425170027144031	0.144065204442953	0.0283054737579288	0.184217217755672
sp|A0Q4K2|RL15_FRATN	Large ribosomal subunit protein uL15	-0.415146182831376	0.136504067432294	0.0305725759372513	0.18889960844964
sp|A0Q4K5|RS13_FRATN	Small ribosomal subunit protein uS13	-0.415022441933422	0.105825176169588	0.00830202630003468	0.112125067845296
sp|A0Q869|RL10_FRATN	Large ribosomal subunit protein uL10	-0.393193083503586	0.0967308457405903	0.00661342380849444	0.108418116799283
sp|A0Q4I8|RL22_FRATN	Large ribosomal subunit protein uL22	-0.387618444086335	0.204578363797145	0.106946624336349	0.344280229027972
sp|A0Q4J3|RL14_FRATN	Large ribosomal subunit protein uL14	-0.381307685214151	0.0990626564926756	0.00902850201771858	0.116576811767245
sp|A0Q4K0|RS5_FRATN	Small ribosomal subunit protein uS5	-0.378765120511538	0.170597877719657	0.0713305085564594	0.282957715342584
sp|A0Q4H1|RS2_FRATN	Small ribosomal subunit protein uS2	-0.37323421257438	0.09646772643706	0.00827425820031794	0.112125067845296
sp|A0Q4I4|RL4_FRATN	Large ribosomal subunit protein uL4	-0.370277817091198	0.221235187832116	0.145214254509242	0.392541518283407
sp|A0Q4I6|RL2_FRATN	Large ribosomal subunit protein uL2	-0.351222680928348	0.131103445176742	0.0366077190380094	0.203858151041048
sp|A0Q4I9|RS3_FRATN	Small ribosomal subunit protein uS3	-0.348850322562511	0.0863104299501666	0.0067947651968034	0.108418116799283
sp|A0Q871|RL11_FRATN	Large ribosomal subunit protein uL11	-0.346322483426892	0.14286669389713	0.0515720377832323	0.240609874024332
sp|A0Q4I5|RL23_FRATN	Large ribosomal subunit protein uL23	-0.345564281948541	0.10695683809853	0.0178889730962185	0.167026327948755
tr|A0Q6D9|A0Q6D9_FRATN	Small ribosomal subunit protein bS21	-0.341398034352408	0.0979654009139714	0.0162168547867511	0.161827281768867
sp|A0Q4J9|RL18_FRATN	Large ribosomal subunit protein uL18	-0.324981926974695	0.105770667698465	0.0218695153208002	0.170190976491215
sp|A0Q870|RL1_FRATN	Large ribosomal subunit protein uL1	-0.316586399442156	0.0995099228272396	0.0194037771538192	0.168884727079538
sp|A0Q4H9|RS12_FRATN	Small ribosomal subunit protein uS12	-0.307101995507861	0.127702549379776	0.0549914857039982	0.246363457480904
sp|A0Q4J8|RL6_FRATN	Large ribosomal subunit protein uL6	-0.304793727111443	0.10559864386992	0.0317832462931921	0.190537318339289
sp|A0Q4K9|RL17_FRATN	Large ribosomal subunit protein bL17	-0.288417039010635	0.106675223149462	0.0353991682203696	0.202221480030457
sp|A0Q4I0|RS7_FRATN	Small ribosomal subunit protein uS7	-0.271384098674158	0.122315603250334	0.0695112024270326	0.282614750352122
sp|A0Q4I3|RL3_FRATN	Large ribosomal subunit protein uL3	-0.270806287968679	0.114292953950893	0.0555628223254804	0.246363457480904
tr|A0Q4A4|A0Q4A4_FRATN	Small ribosomal subunit protein bS1	-0.270432226276707	0.126277374877211	0.0782929723173658	0.298682605431509
sp|A0Q4I2|RS10_FRATN	Small ribosomal subunit protein uS10	-0.266279353893862	0.155297536565355	0.137233352902312	0.38481448180943
sp|A0Q6H3|RS18_FRATN	Small ribosomal subunit protein bS18	-0.264475487935143	0.110507890870502	0.0537827973313072	0.246363457480904
sp|A0Q4J0|RL16_FRATN	Large ribosomal subunit protein uL16	-0.262942873830211	0.195585733718852	0.227417047640574	0.488510111476553
sp|A0Q6H2|RL9_FRATN	Large ribosomal subunit protein bL9	-0.221865648253483	0.109570845191296	0.0893172251177751	0.311417624668801
sp|A0Q4M1|RL31_FRATN	Large ribosomal subunit protein bL31	-0.221157829263811	0.195925875685577	0.308089130080539	0.572792290893407
sp|A0Q4J7|RS8_FRATN	Small ribosomal subunit protein uS8	-0.177369609100149	0.138117991307642	0.247915462823261	0.51195196628705
sp|A0Q759|RL20_FRATN	Large ribosomal subunit protein bL20	-0.144427667094098	0.0936809314244794	0.175195347295998	0.435712224895103
sp|A0Q4J5|RL5_FRATN	Large ribosomal subunit protein uL5	-0.140811220873126	0.126163241031784	0.307068461413282	0.571970251951083
tr|A0Q7F5|A0Q7F5_FRATN	Small ribosomal subunit protein uS9	-0.121351689641726	0.108129994667801	0.304635157648509	0.570887257156297
sp|A0Q4J2|RS17_FRATN	Small ribosomal subunit protein uS17	-0.112254160240532	0.15418836513656	0.499301480389693	0.720932902454657
sp|A0Q4I7|RS19_FRATN	Small ribosomal subunit protein uS19	-0.0754848428980359	0.133463133606539	0.592179538204683	0.787506293962071
sp|A0Q4K1|RL30_FRATN	Large ribosomal subunit protein uL30	-0.0627013850503021	0.429337754829364	0.888768571286485	0.951225727894061
