uniprot	refseq
A0Q3U7	WP_011733557
A0Q3U8	WP_003032611
A0Q3U9	WP_003040784
A0Q3V0	WP_003040785
A0Q3V1	WP_011733558
A0Q3V2	WP_003040790
A0Q3V3	WP_003040792
A0Q3V4	WP_003040795
A0Q3V5	WP_003040797
A0Q3V6	WP_003040799
A0Q3V7	WP_003038013
A0Q3V8	WP_011733559
A0Q3V9	WP_003040802
A0Q3W0	WP_003040804
A0Q3W1	WP_003032626
A0Q3W2	WP_003040807
A0Q3W3	WP_003040809
A0Q3W4	WP_003032629
A0Q3W5	WP_003040812
A0Q3W6	WP_003040814
A0Q3W7	WP_003040816
A0Q3W8	WP_003040818
A0Q3W9	WP_003040820
A0Q3X0	WP_003040822
A0Q3X1	WP_003040821
A0Q3X2	WP_003024248
A0Q3X3	WP_003040824
A0Q3X4	WP_003040825
A0Q3X5	WP_003040826
A0Q3X6	WP_003040827
A0Q3X7	WP_011733560
A0Q3X8	WP_003040829
A0Q3X9	WP_003040830
A0Q3Y0	WP_003040831
A0Q3Y2	WP_011733561
A0Q3Y3	WP_003040834
A0Q3Y4	WP_003040837
A0Q3Y5	WP_003040839
A0Q3Y6	WP_011733562
A0Q3Y8	WP_011733564
A0Q3Z0	WP_003040849
A0Q3Z1	WP_003040851
A0Q3Z2	WP_003040853
A0Q3Z3	WP_003040855
A0Q3Z4	WP_003040860
A0Q3Z5	WP_003040863
A0Q3Z7	WP_003040869
A0Q3Z8	WP_003040872
A0Q3Z9	WP_011733567
A0Q400	WP_003040877
A0Q401	WP_003040880
A0Q402	WP_003032672
A0Q403	WP_003040886
A0Q405	WP_003040892
A0Q406	WP_003017457
A0Q407	WP_003040894
A0Q408	WP_003040897
A0Q409	WP_003021745
A0Q410	WP_003040900
A0Q412	WP_003040906
A0Q413	WP_003040909
A0Q414	WP_003040911
A0Q415	WP_003032698
A0Q416	WP_003032700
A0Q417	WP_003021790
A0Q418	WP_003032702
A0Q419	WP_003040916
A0Q420	WP_003032707
A0Q421	WP_003032709
A0Q422	WP_003014180
A0Q423	WP_003032711
A0Q424	WP_003040921
A0Q425	WP_003040924
A0Q426	WP_003040927
A0Q427	WP_003040929
A0Q428	WP_003040933
A0Q429	WP_003040936
A0Q430	WP_003040939
A0Q431	WP_003040943
A0Q432	WP_003040944
A0Q433	WP_003040948
A0Q434	WP_003040951
A0Q435	WP_003040954
A0Q436	WP_003040957
A0Q437	WP_003040959
A0Q438	WP_003014140
A0Q439	WP_003040962
A0Q440	WP_003040965
A0Q441	WP_003032740
A0Q442	WP_003032744
A0Q443	WP_003013996
A0Q444	WP_003040969
A0Q445	WP_003040974
A0Q447	WP_003040977
A0Q448	WP_003040980
A0Q449	WP_003040982
A0Q450	WP_003017606
A0Q451	WP_003032760
A0Q452	WP_003017608
A0Q453	WP_003032762
A0Q454	WP_003040989
A0Q455	WP_003040990
